Sector,Week,Month,Quarter,HalfYear,Year,YearToDate,AnalystRecom,AvgVolume,RelativeVolume,Change,Volume
Basic Materials,-4.63,-3.34,5.66,2.72,0.70,9.90,2.04,709328.16,1.08,-0.48,766214341.00
Communication Services,-0.52,1.43,15.71,3.20,29.72,11.56,1.60,638713.19,1.11,-1.59,711595174.00
Consumer Cyclical,-4.67,-1.62,8.57,-7.38,15.19,-2.57,1.82,1448328.31,1.10,-3.08,1593523147.00
Consumer Defensive,-1.60,-2.46,-1.23,1.28,7.31,4.41,2.00,503732.57,1.01,0.48,508926113.00
Energy,-1.28,-1.36,7.26,-3.27,-4.25,1.80,1.94,765347.41,0.91,-1.39,695800246.00
Financial,-3.69,-1.55,8.10,3.08,20.15,10.30,2.06,1435291.89,1.16,-1.63,1667379359.00
Healthcare,-4.50,-3.82,-5.35,-13.07,-14.67,-7.35,1.86,1364870.92,1.32,0.47,1795722275.00
Industrials,-3.23,1.16,14.30,6.26,15.41,12.00,2.04,970235.49,1.10,-1.44,1066111094.00
Real Estate,-3.13,-1.07,0.25,-2.14,-2.25,-0.41,1.93,510249.51,1.19,-0.26,606765936.00
Technology,-2.14,1.27,20.66,10.28,25.44,10.15,1.67,2583026.34,0.97,-2.22,2496969869.00
Utilities,1.07,4.86,7.86,10.18,19.05,13.99,2.12,230278.34,1.00,0.06,230236110.00 